"STATION","NAME","DATE","TMAX","TMIN"
"US1PACLM007","ESPY 0.8 S, PA US","2017-08-30",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-09-03",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-09-04",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-09-06",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-09-07",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-09-14",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-09-15",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-09-16",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-09-17",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-09-18",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-09-28",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-09-30",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-10-10",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-10-12",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-10-16",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-10-24",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-10-29",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-10-30",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-11-02",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-11-05",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-11-06",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-11-07",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-11-08",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-11-18",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-11-20",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-11-22",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-12-01",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-12-12",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-12-14",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-12-23",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-12-24",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-12-25",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-12-29",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-12-30",,
"US1PACLM007","ESPY 0.8 S, PA US","2017-12-31",,
"US1PACLM007","ESPY 0.8 S, PA US","2018-01-04",,
"US1PACLM007","ESPY 0.8 S, PA US","2018-01-12",,
"US1PACLM007","ESPY 0.8 S, PA US","2018-01-13",,
"US1PACLM007","ESPY 0.8 S, PA US","2018-01-17",,
"US1PACLM007","ESPY 0.8 S, PA US","2018-01-22",,
"US1PACLM007","ESPY 0.8 S, PA US","2018-01-23",,
"US1PACLM007","ESPY 0.8 S, PA US","2018-01-24",,
"US1PACLM007","ESPY 0.8 S, PA US","2018-01-28",,
"US1PACLM007","ESPY 0.8 S, PA US","2018-02-04",,
"US1PACLM007","ESPY 0.8 S, PA US","2018-02-05",,
