"STATION","NAME","DATE","TMAX","TMIN"
"USC00365817","MILLVILLE 2 SW, PA US","1960-12-19","28","9"
"USC00365817","MILLVILLE 2 SW, PA US","1960-12-20","29","0"
"USC00365817","MILLVILLE 2 SW, PA US","1960-12-21","29","1"
"USC00365817","MILLVILLE 2 SW, PA US","1960-12-22","30","0"
"USC00365817","MILLVILLE 2 SW, PA US","1960-12-23","15","-12"
"USC00365817","MILLVILLE 2 SW, PA US","1960-12-24","10","-11"
"USC00365817","MILLVILLE 2 SW, PA US","1960-12-25","18","-5"
"USC00365817","MILLVILLE 2 SW, PA US","1960-12-26","36","11"
"USC00365817","MILLVILLE 2 SW, PA US","1960-12-27","39","11"
"USC00365817","MILLVILLE 2 SW, PA US","1960-12-28","25","-10"
"USC00365817","MILLVILLE 2 SW, PA US","1960-12-29","17","-11"
"USC00365817","MILLVILLE 2 SW, PA US","1960-12-30","21","12"
"USC00365817","MILLVILLE 2 SW, PA US","1960-12-31","33","12"
"USC00365817","MILLVILLE 2 SW, PA US","1961-01-01","39","10"
"USC00365817","MILLVILLE 2 SW, PA US","1961-01-02","36","23"
"USC00365817","MILLVILLE 2 SW, PA US","1961-01-03","34","22"
"USC00365817","MILLVILLE 2 SW, PA US","1961-01-04","29","15"
"USC00365817","MILLVILLE 2 SW, PA US","1961-01-05","24","11"
"USC00365817","MILLVILLE 2 SW, PA US","1961-01-06","27","13"
"USC00365817","MILLVILLE 2 SW, PA US","1961-01-07","42","18"
"USC00365817","MILLVILLE 2 SW, PA US","1961-01-08","48","32"
"USC00365817","MILLVILLE 2 SW, PA US","1961-01-09","35","14"
"USC00365817","MILLVILLE 2 SW, PA US","1961-01-10","26","10"
"USC00365817","MILLVILLE 2 SW, PA US","1961-01-11","34","10"
"USC00365817","MILLVILLE 2 SW, PA US","1961-01-12","41","9"
"USC00365817","MILLVILLE 2 SW, PA US","1961-01-13","40","9"
"USC00365817","MILLVILLE 2 SW, PA US","1961-01-14","42","15"
"USC00365817","MILLVILLE 2 SW, PA US","1961-01-15","47","24"
"USC00365817","MILLVILLE 2 SW, PA US","1961-01-16","37","27"
"USC00365817","MILLVILLE 2 SW, PA US","1961-01-17","32","18"
"USC00365817","MILLVILLE 2 SW, PA US","1961-01-18","39","23"
"USC00365817","MILLVILLE 2 SW, PA US","1961-01-19","37","16"
"USC00365817","MILLVILLE 2 SW, PA US","1961-01-20","18","8"
"USC00365817","MILLVILLE 2 SW, PA US","1961-01-21","16","-9"
"USC00365817","MILLVILLE 2 SW, PA US","1961-01-22","15","-10"
"USC00365817","MILLVILLE 2 SW, PA US","1961-01-23","10","-7"
"USC00365817","MILLVILLE 2 SW, PA US","1961-01-24","19","-4"
"USC00365817","MILLVILLE 2 SW, PA US","1961-01-25","22","-6"
"USC00365817","MILLVILLE 2 SW, PA US","1961-01-26","15","-7"
"USC00365817","MILLVILLE 2 SW, PA US","1961-01-27","13","-1"
"USC00365817","MILLVILLE 2 SW, PA US","1961-01-28","16","-3"
"USC00365817","MILLVILLE 2 SW, PA US","1961-01-29","16","-3"
"USC00365817","MILLVILLE 2 SW, PA US","1961-01-30","24","-2"
"USC00365817","MILLVILLE 2 SW, PA US","1961-01-31","21","4"
"USC00365817","MILLVILLE 2 SW, PA US","1961-02-01","26","9"
"USC00365817","MILLVILLE 2 SW, PA US","1961-02-02","15","-12"
"USC00365817","MILLVILLE 2 SW, PA US","1961-02-03","12","-12"
"USC00365817","MILLVILLE 2 SW, PA US","1961-02-04","25","4"
"USC00365817","MILLVILLE 2 SW, PA US","1961-02-05","35","14"
"USC00365817","MILLVILLE 2 SW, PA US","1961-02-06","32","7"
"USC00365817","MILLVILLE 2 SW, PA US","1961-02-07","33","2"
"USC00365817","MILLVILLE 2 SW, PA US","1961-02-08","34","4"
"USC00365817","MILLVILLE 2 SW, PA US","1961-02-09","28","14"
"USC00365817","MILLVILLE 2 SW, PA US","1961-02-10","39","19"
"USC00365817","MILLVILLE 2 SW, PA US","1961-02-11","42","23"
"USC00365817","MILLVILLE 2 SW, PA US","1961-02-12","35","13"
"USC00365817","MILLVILLE 2 SW, PA US","1961-02-13","31","18"
"USC00365817","MILLVILLE 2 SW, PA US","1961-02-14","36","25"
"USC00365817","MILLVILLE 2 SW, PA US","1961-02-15","44","25"
"USC00365817","MILLVILLE 2 SW, PA US","1961-02-16","38","25"
"USC00365817","MILLVILLE 2 SW, PA US","1961-02-17","39","14"
"USC00365817","MILLVILLE 2 SW, PA US","1961-02-18","37","15"
"USC00365817","MILLVILLE 2 SW, PA US","1961-02-19","46","34"
"USC00365817","MILLVILLE 2 SW, PA US","1961-02-20","50","26"
"USC00365817","MILLVILLE 2 SW, PA US","1961-02-21","35","23"
"USC00365817","MILLVILLE 2 SW, PA US","1961-02-22","38","22"
